14:18:28.595 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_blackkeys.htm: null
14:18:30.143 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_pretend_tapestrydlife.htm: null
14:18:40.302 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_aleladiane_aboutfarewell.htm: null
14:18:49.269 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_thelonelywild_chasingwhitelight.htm: null
14:18:54.597 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_joshtpearson.htm: null
14:18:55.140 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_darkdarkdark_whoneedswho.htm: null
14:18:56.045 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_hiphatchet_joyandbetterdays.htm: null
14:19:03.397 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_nedroberts_nedroberts.htm: null
14:19:13.003 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_tinyruins_brightlypaintedone.htm: null
14:19:19.305 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_seanrowe.htm: null
14:19:20.658 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_lewisandclarke_triumvirate.htm: null
14:19:22.020 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_myautumnempire_thevisitation.htm: null
14:19:23.694 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2010_lowerdens.htm: null
14:19:24.660 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_oliviachaney_thelongestriver.htm: null
14:19:26.792 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_amandamair.htm: null
14:19:27.028 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_fink_hardbeliever.htm: null
